Date Opened,Time Opened,Date Closed,Time Closed,Symbol,Contract,Direction,Strike,Expiration,Contracts,Entry Price,Entry Amount,Entry Latency (ms),Entry Slippage %,Exit Price,Exit Amount,Exit Latency (ms),Exit Slippage %,Status,Result,UserName,P&L,P&L %
2026-05-28,11:44:49,2026-05-29,09:32:03,PLTR,PLTR260605C00147000,call,147,Jun 05 2026,6,1.69,1014.00,3124,+2.42%,4.95,2970.00,,,Closed,TargetHit,vidroid,+1956.00,+192.90%
2026-05-28,11:52:13,2026-05-28,12:45:46,SLV,SLV260605C00067000,call,67,Jun 05 2026,4,2.33,932.00,3793,+0.87%,2.73,1092.00,1186,-2.15%,Closed,XtradesExit,Paltrader SPY scalps,+160.00,+17.17%
2026-05-28,12:18:25,2026-05-28,14:10:06,NVDA,NVDA260529C00220000,call,220,May 29 2026,40,0.25,1000.00,2578,+0.00%,0.49,1974.00,2255,-1.30%,Closed,XtradesExit,vidroid,+974.00,+97.40%
2026-05-28,12:19:30,2026-05-28,13:43:10,AMZN,AMZN260529C00275000,call,275,May 29 2026,22,0.47,1034.00,2343,+4.44%,0.78,1716.00,1130,+0.00%,Closed,XtradesExit,vidroid,+682.00,+65.96%
2026-05-28,13:36:44,2026-05-29,11:24:46,FIG,FIG260918C00022500,call,23,Sep 18 2026,2,5.05,1010.00,3655,+5.21%,6.10,1220.00,1215,+1.67%,Closed,XtradesExit,KrazyA - [$TSLA 👶 🐐],+210.00,+20.79%
2026-05-28,13:44:02,2026-05-29,10:15:44,SHOP,SHOP260918C00140000,call,140,Sep 18 2026,1,7.15,715.00,3390,+2.88%,7.15,715.00,45507,-13.33%,Closed,XtradesExit,KrazyA - [$TSLA 👶 🐐],+0.00,+0.00%
2026-05-28,14:10:15,2026-05-29,15:06:03,AMZN,AMZN260717C00300000,call,300,Jul 17 2026,2,4.14,828.00,2641,-0.48%,3.45,690.00,,,Closed,ForcedClose,ScottAlerts,-138.00,-16.67%
2026-05-28,14:14:57,2026-05-29,09:31:45,NVDA,NVDA260529C00215000,call,215,May 29 2026,6,1.63,978.00,1923,-0.61%,0.86,516.00,,,Closed,StoppedOut,rockstar19,-462.00,-47.24%
2026-05-28,14:40:45,2026-05-29,15:06:05,UBER,UBER260618C00070000,call,70,Jun 18 2026,3,2.85,855.00,3652,+1.06%,3.05,915.00,,,Closed,ForcedClose,sageofsixpaths (brycat23),+60.00,+7.02%
2026-05-28,14:41:52,2026-05-29,15:06:07,EEM,EEM260717C00068500,call,69,Jul 17 2026,3,3.50,1050.00,3411,+16.67%,2.87,861.00,,,Closed,ForcedClose,Mthorseman,-189.00,-18.00%
2026-05-28,14:55:49,2026-05-29,11:38:17,MSTR,MSTR260618C00160000,call,160,Jun 18 2026,1,6.75,675.00,3758,+4.33%,10.55,1055.00,8887,+0.48%,Closed,XtradesExit,hypothesis2304,+380.00,+56.30%
2026-05-28,15:08:13,2026-05-29,10:43:10,INTC,INTC260618C00130000,call,130,Jun 18 2026,1,6.45,645.00,3346,+0.78%,5.00,500.00,14497,-1.38%,Closed,XtradesExit,ScottAlerts,-145.00,-22.48%
2026-05-28,15:59:31,2026-05-29,15:06:12,HOOD,HOOD260618C00090000,call,90,Jun 18 2026,2,3.55,710.00,2775,+1.14%,6.90,1380.00,,,Closed,ForcedClose,ScottAlerts,+670.00,+94.37%
2026-05-29,09:55:32,2026-05-29,10:17:53,MSFT,MSFT260618C00450000,call,450,Jun 18 2026,2,8.95,1789.00,5532,-0.61%,8.11,1622.00,,,Closed,StoppedOut,Sean@BearishBull,-167.00,-9.33%
2026-05-29,09:59:29,2026-05-29,10:03:26,PLTR,PLTR260605C00155000,call,155,Jun 05 2026,4,4.45,1780.00,1891,+2.06%,4.89,1956.00,3057,+0.62%,Closed,XtradesExit,Fibonaccizer,+176.00,+9.89%
2026-05-29,10:13:06,2026-05-29,10:30:44,PLTR,PLTR260612C00155000,call,155,Jun 12 2026,3,6.75,2025.00,4596,+3.53%,7.05,2115.00,2999,+0.71%,Closed,XtradesExit,bppoke2 ,+90.00,+4.44%
2026-05-29,10:25:26,2026-05-29,15:06:18,META,META260618C00625000,call,625,Jun 18 2026,1,19.15,1915.00,26136,-0.78%,19.50,1950.00,,,Closed,ForcedClose,sageofsixpaths (brycat23),+35.00,+1.83%
2026-05-29,10:30:40,2026-05-29,10:42:43,TSLA,TSLA260529C00430000,call,430,May 29 2026,5,3.44,1720.00,4242,+1.18%,2.30,1150.00,,,Closed,StoppedOut,hypothesis2304,-570.00,-33.14%
2026-05-29,11:22:38,2026-05-29,11:48:04,GLD,GLD260605P00420000,put,420,Jun 05 2026,4,5.05,2020.00,3746,+2.43%,5.80,2320.00,2528,-1.69%,Closed,XtradesExit,Paltrader SPY scalps,+300.00,+14.85%
2026-05-29,11:54:18,2026-05-29,14:21:46,PANW,PANW260618C00300000,call,300,Jun 18 2026,2,9.40,1880.00,2975,+6.21%,10.50,2100.00,2690,-2.33%,Closed,XtradesExit,Fibonaccizer,+220.00,+11.70%
2026-05-29,11:54:55,2026-05-29,12:20:06,IBM,IBM260529P00295000,put,295,May 29 2026,3,6.75,2025.00,3774,+13.45%,7.00,2100.00,1380,-7.28%,Closed,XtradesExit,rockstar19,+75.00,+3.70%
2026-05-29,12:10:56,2026-05-29,15:06:29,WDAY,WDAY260618C00170000,call,170,Jun 18 2026,13,1.65,2145.00,3115,+10.00%,1.60,2080.00,,,Closed,ForcedClose,Mike B   ,-65.00,-3.03%
2026-05-29,12:15:07,2026-05-29,15:06:17,NVDA,NVDA260717C00215000,call,215,Jul 17 2026,1,13.80,1380.00,1958,+0.73%,14.15,1415.00,,,Closed,ForcedClose,Ken,+35.00,+2.54%
2026-05-29,12:49:47,2026-05-29,15:05:26,CRM,CRM260821C00200000,call,200,Aug 21 2026,1,14.20,1420.00,2522,+0.71%,13.30,1330.00,,,Closed,ForcedClose,KrazyA - [$TSLA 👶 🐐],-90.00,-6.34%
2026-05-29,13:09:30,2026-05-29,15:06:45,U,U270115C00040000,call,40,Jan 15 2027,4,4.45,1780.00,2830,+4.71%,4.15,1660.00,,,Closed,ForcedClose,KrazyA - [$TSLA 👶 🐐],-120.00,-6.74%
2026-05-29,13:12:40,2026-05-29,14:42:23,RKLB,RKLB260605C00155000,call,155,Jun 05 2026,5,3.75,1875.00,3850,+5.63%,2.48,1240.00,,,Closed,StoppedOut,Firestarter,-635.00,-33.87%
2026-05-29,13:36:57,2026-05-29,14:35:39,SOFI,SOFI260605C00019000,call,19,Jun 05 2026,46,0.44,2024.00,2195,+2.33%,0.32,1472.00,,,Closed,StoppedOut,vidroid,-552.00,-27.27%
2026-05-29,13:39:06,2026-05-29,15:06:51,EBAY,EBAY260605P00106000,put,106,Jun 05 2026,17,1.52,2584.00,3099,+31.03%,1.09,1853.00,,,Closed,ForcedClose,vidroid,-731.00,-28.29%
2026-05-29,14:48:27,2026-05-29,15:05:24,QQQ,QQQ260602C00740000,call,740,Jun 02 2026,5,3.40,1700.00,2038,-1.73%,3.51,1755.00,,,Closed,ForcedClose,Paltrader SPY scalps,+55.00,+3.24%

,,SUMMARY
,,Total Trades,64
,,Open,0,Closed,64
,,Wins,38,Losses,24,Win Rate,59.4%
,,Total P&L,+4213.00
